Week 2397: SIRGAS sol aligned to IGb20 (igs25P2397)              05-FEB-26 12:35
--------------------------------------------------------------------------------
LOCAL GEODETIC DATUM: IGb20             EPOCH: 2025-12-17 12:00:00

NUM  STATION NAME           X (M)          Y (M)          Z (M)     FLAG

765  PBJP 41698M001    5192505.76361 -3618762.89010  -787096.57821    A
766  PBPT 48106M001    5036383.54827 -3834795.28692  -780385.74523    A
769  PDE3 41524M003    1754149.93668 -3921337.56252 -4698742.98697    A
771  PDEL 31906M004    4551595.85073 -2186892.77194  3883411.07353    W
773  PEAF 48093M001    5005578.92897 -3859264.13644  -856010.00670    A
776  PELU 47004M001    2261536.99701 -4378480.63997 -4035551.37573    A
778  PEPE 41650M001    4785329.90929 -4087942.59754 -1033193.69113    A
779  PERA 41905S001    1571418.70635 -6160208.38619   529446.70732    A
780  PERC 41617M002    5176554.09584 -3617985.95243  -888220.70013    A
783  PI01 42211M001    1034460.34179 -6267518.65252  -572008.69597    A
785  PICR 48092M001    4422865.33019 -4449687.10310 -1147157.10509    A
786  PIE1 40456M001   -1640917.19354 -5014781.19011  3575446.97828    W
787  PIEC 42053M001    1333085.07694 -6239312.21663    43757.87830    A
788  PIFL 48078M001    4629166.88486 -4322988.98413  -748885.23051    A
792  PISR 41673M001    4629725.24340 -4272600.42844  -994572.30895    A
796  PJMZ 40629M001     734475.41153 -6265049.01249   940580.59302    A
797  PLEC 42033M002    1198892.48944 -6244396.58562  -513798.72506    A
799  PMEC 41307M001    1059849.51224 -6219156.54918   935236.20772    A
801  POAL 41616M001    3467519.44472 -4300378.70003 -3177517.46297    A
802  POEC 42008M003    1057569.99302 -6288867.94177  -115407.75545    A
805  POLI 41630M001    4010099.54034 -4259927.46083 -2533538.50206    A
807  POPA 41924S001    1477067.48159 -6200659.02927   270141.55050    A
810  POVE 41628M001    2774265.57265 -5662060.20964  -959415.68707    W
812  PPTE 41611M002    3687624.37693 -4620818.81702 -2386880.08298    A
813  PRCL 48097M002    3445191.25398 -4647593.20804 -2678196.45466    A
815  PRDS 40124M001   -1659603.32722 -3676725.80088  4925493.41336    A
817  PREC 42035M001    1329685.21690 -6236040.74235  -188840.18224    A
818  PRGU 41671M001    3590927.12767 -4512405.79526 -2718013.08224    A
819  PRMA 41674M001    3610720.83500 -4611288.52299 -2518636.03235    A
820  PRNA 41554M001    2674872.29216 -4721942.52405 -3339902.62942    A
822  PSEC 42061M001    1103026.10868 -6282084.92703     7895.37007    A
823  PSTO 41925S001    1404951.74953 -6222655.06509   134028.84823    A
830  PU02 42228M001    2085642.83503 -5786561.05015 -1696048.16411    A
832  PUNT 40608M001     565870.44687 -6256745.16704  1098060.97003    A
834  PUS2 41816M002    3215730.60927 -5106375.56477 -2058528.85127    A
838  QAQ1 43007M001    2170941.71951 -2251830.06467  5539988.56592    A
840  QNEC 42058M001    1165687.84378 -6270721.45228    36936.27758    A
843  QUEP 40626M001     639372.37634 -6260063.19299  1037520.09155    A
844  QUI1 42003S003    1272867.29297 -6252772.04808   -23801.53500    A
845  QUI3 42003S004    1275746.59447 -6252216.75986   -15440.89304    A
847  QUIN 40433M004   -2517231.56360 -4198594.90547  4076531.13784    W
848  QVEC 42012M001    1165494.03030 -6269857.61694  -111925.55577    A
855  RDSD 40805M001    2078678.94524 -5683737.20488  2006886.99973    A
857  RECO 41581M001    2815740.49791 -4811702.36937 -3088116.18113    A
864  RIDC 40609M001     651566.71023 -6250735.93010  1091707.93252    A
867  RIO2 41507M006    1429907.92633 -3495354.99653 -5122698.48784    W
872  RIOP 42006M001    1255144.95132 -6253609.42659  -182569.63995    A
873  RJCG 41657M001    4450354.26539 -3913332.93233 -2350256.08008    A
874  RJNI 48104M001    4289663.39175 -4018945.88295 -2467135.53963    A
879  RNNA 41668M001    5184572.48301 -3658358.34343  -644238.33219    A
886  ROGU 41651M002    2617180.41331 -5694198.10526 -1183156.13031    A
887  ROJI 41658M001    2945010.54049 -5529377.11508 -1194259.02340    A
888  ROSA 41632M001    3551520.50330 -4704836.25359 -2428155.45051    A
892  RSCL 48080M001    3248119.60504 -4596793.15434 -2990511.16083    A
893  RSPE 48099M001    3309121.02461 -4299717.34189 -3341853.92034    A
894  RSPF 48054M001    3432449.56569 -4455617.64305 -2999140.81356    A
895  RSSL 48105M001    3474821.47879 -4314465.01906 -3150520.73674    A
897  RVEC 42059M001    1171641.39710 -6268499.37813   118783.34613    A
898  RWSN 41513M001    1956973.53569 -4217335.54258 -4351745.33074    A
899  SABY 86103M001    2739342.79082 -5427818.20835  1921068.04113    A
900  SAGA 41639M001    2486243.68747 -5873685.36111   -15906.52547    A
901  SAGE 40610M001     690231.05663 -6256292.33390  1032020.89254    A
904  SAMA 41928S001    1704996.34216 -6020152.17191  1233459.46684    A
907  SANT 41705M003    1769693.54985 -5044574.32428 -3468320.82784    W
912  SCAQ 48088M001    3770474.62653 -4297501.78228 -2818212.95225    A
913  SCBL 48109M001    3724539.89712 -4305399.80581 -2866563.99262    A
914  SCCA 48047M001    3583325.17197 -4431251.55574 -2856884.31996    A
915  SCCH 41659M001    3450305.45028 -4512731.80791 -2892127.96943    A
916  SCCR 48107M001    3649474.24736 -4247661.69540 -3042653.92158    A
918  SCFL 48094M001    3746626.11434 -4237700.92728 -2937241.66941    A
919  SCH2 40133M002    1448636.44108 -3385243.84031  5191047.32009    A
920  SCIM 41638M002    3714733.77525 -4221747.29341 -2999645.57295    A
922  SCLA 41660M001    3606986.06755 -4345293.38712 -2956653.92099    A
923  SCOR 43006M002    1982095.65038  -798821.03783  5989464.71675    W
924  SCRZ 41801M001    2743005.92108 -5420745.30154 -1937116.92411    W
927  SDTA 44482M001    1867301.00300 -6033126.86379   890962.76154    A
928  SEAJ 41697M001    4995143.83781 -3778384.06495 -1201364.61348    A
930  SEEC 42036M001    1007568.32545 -6293266.43955  -245374.93285    A
932  SEUS 86101M001    2764146.02889 -5420873.38728  1905182.11255    A
937  SG27 49508M001   -1880319.46259  -813284.22859  6019923.86438    A
939  SGPO 49368M001    -667801.25036 -5082858.39008  3782394.85989    A
943  SICO 47002M001    1836244.15781 -4490387.78077 -4127848.09882    A
944  SIEC 42047M001    1180956.73300 -6259010.54081  -361977.42070    A
947  SJNE 44472M001    1618183.03240 -6070915.59872  1095566.04508    A
948  SJRP 41633M001    3885706.91524 -4527124.09564 -2249399.84882    A
949  SJSP 41601M002    4084802.43567 -4209560.54389 -2498056.65861    A
950  SL01 41543M001    2147509.02199 -4895414.41854 -3468961.85568    A
952  SM01 42221M001    1428390.53231 -6181158.23494  -664775.23256    A
953  SMAR 41621M001    3280748.44505 -4468909.91471 -3143408.43210    A
954  SMDM 47001M001    2694564.57955 -4450017.41239 -3677879.17349    A
957  SNEC 42060M001    1289589.11009 -6239676.76669  -300139.00005    A
959  SNLR 42021M001    1233412.67624 -6256121.71093   142907.77259    A
961  SOCB 44473M001    1887339.73224 -6059001.50956   662175.65082    A
966  SONE 44474M001    1571501.54186 -6087475.09615  1070626.59137    A
967  SPAR 41676M001    3789545.40583 -4587255.89133 -2290619.06660    A
968  SPBO 41692M001    3902211.62555 -4400160.68703 -2461983.34224    A
970  SPC1 41678M002    4007215.13239 -4306650.35497 -2458220.26577    A
972  SPDR 48086M001    3692649.66712 -4651331.28906 -2319169.67174    A
974  SPFE 48082M001    3829575.67465 -4601083.34246 -2195192.17675    A
975  SPFR 41693M001    4046871.17263 -4398880.66509 -2221086.35507    A
976  SPJA 41686M001    3957806.69997 -4440069.92507 -2296499.57469    A
978  SPLI 41677M002    3833257.11164 -4525414.21729 -2340171.35891    A
979  SPOR 48048M001    3788422.46062 -4489869.05685 -2476832.89426    A
982  SPS1 48083M002    3960996.52770 -4310092.59978 -2525734.71764    A
985  SPTU 48085M001    3766123.32450 -4567433.61883 -2367323.53917    A
986  SRLP 41532M001    2224229.66318 -4617566.13555 -3783897.57405    A
989  SRZN 43701S005    3623419.94970 -5214015.55319   602359.45559    A
990  SSA1 41644M001    4863840.29933 -3871158.74371 -1422726.48059    A
991  SSIA 41401S001      95567.13489 -6197785.55654  1500590.62474    A
995  STHL 30606M003    6104817.29549  -605827.67342 -1740738.57606    A
998  STJO 40101M001    2612630.71642 -3426807.06163  4686758.05251    W
  7  SUTH 30314M002    5041274.92173  1916054.55642 -3397075.60817    W
 10  SVIC 41536M001    3303870.04417 -4629721.74875 -2877845.86235    A
 16  TAMP 40516M001    -807922.83066 -5849358.23074  2402967.60630    A
 17  TARZ 44477M001    1593082.55241 -6119111.41521   834884.65787    A
 26  TEG2 41101M001     301692.90731 -6181037.58513  1542881.30417    A
